1 AV,BMT,,BMT,1 Av,,,
104 ST,BMT,,BMT,104 St,,,
111 ST,BMT,,BMT,111 St,,,
121 ST,BMT,,BMT,121 St,,,
14 ST-UNION SQ,BMT,,BMT,14 St - Union Sq,,,
18 AV,BMT,,BMT,18 Av,,,
20 AV,BMT,,BMT,20 Av,,,
23 ST,BMT,,BMT,23 St,,,
25 AV,BMT,,BMT,25 Av,,,
25 ST,BMT,,BMT,25 St,,,
28 ST,BMT,,BMT,28 St,,,
3 AV,BMT,,BMT,3 Av,,,
30 AV,BMT,,BMT,30 Av,,,
34 ST-HERALD SQ,BMT,,BMT,34 St - Herald Sq,,,
36 AV,BMT,,BMT,36 Av,,,
36 ST,BMT,,BMT,36 St,,,
39 AV,BMT,,BMT,39 Av,,,
45 ST,BMT,,BMT,45 St,,,
49 ST,BMT,,BMT,49 St,,,
4AV-9 ST,BMT,,,,,,
5 AV/59 ST,BMT,,BMT,5 Av/59 St,,,
50 ST,BMT,,BMT,50 St,,,
53 ST,BMT,,BMT,53 St,,,
55 ST,BMT,,BMT,55 St,,,
57 ST-7 AV,BMT,,BMT,57 St - 7 Av,,,
59 ST,BMT,,BMT,59 St,,,
6 AV,BMT,,BMT,6 Av,,,
7 AV,BMT,,BMT,7 Av,,,
71 ST,BMT,,BMT,71 St,,,
75 ST-ELDERTS,BMT,,BMT,75 St,,,
77 ST,BMT,,BMT,77 St,,,
79 ST,BMT,,BMT,79 St,,,
8 AV,BMT,,BMT,8 Av,,,
8 ST-NYU,BMT,,BMT,8 St - NYU,,,
85 ST-FOREST PK,BMT,,BMT,85 St - Forest Pkwy,,,
86 ST,BMT,,BMT,86 St,,,
9 AV,BMT,,BMT,9 Av,,,
ALABAMA AV,BMT,,BMT,Alabama Av,,,
ASTORIA BLVD,BMT,,BMT,Astoria Blvd,,,
ASTORIA DITMARS,BMT,,BMT,Astoria - Ditmars Blvd,,,
ATL AV-BARCLAY,BMT,,BMT,Atlantic Av - Barclays Ctr,,,
ATLANTIC AV,BMT,,BMT,Atlantic Av,,,
AVENUE H,BMT,,BMT,Avenue H,,,
AVENUE J,BMT,,BMT,Avenue J,,,
AVENUE M,BMT,,BMT,Avenue M,,,
AVENUE U,BMT,,BMT,Avenue U,,,
BAY 50 ST,BMT,,BMT,Bay 50 St,,,
BAY PKWY,BMT,,BMT,Bay Pkwy,,,
BAY RIDGE AV,BMT,,BMT,Bay Ridge Av,,,
BAY RIDGE-95 ST,BMT,,BMT,Bay Ridge - 95 St, , , 
