	STATION	DIVISION	Fixed Counts
287	GRD CNTRL-42 ST	IRT	2617020.0
89	42 ST-PORT AUTH	IND	1830374.0
418	TIMES SQ-42 ST	IRT	1605614.0
81	34 ST-PENN STA	IRT	1486414.0
80	34 ST-PENN STA	IND	1422052.0
78	34 ST-HERALD SQ	IND	1381388.0
22	14 ST-UNION SQ	BMT	1330926.0
139	86 ST	IRT	1210198.0
278	FULTON ST	IND	1133014.0
110	59 ST COLUMBUS	IND	1010398.0
375	PATH NEW WTC	PTH	1008106.0
265	FLUSHING-MAIN	IRT	1000594.0
210	CANAL ST	BMT	988699.0
93	47-50 STS ROCK	IND	970347.0
145	96 ST	IRT	936091.0
15	125 ST	IRT	902784.0
312	JKSN HT-ROOSVLT	IND	898908.0
62	23 ST	IND	886897.0
77	34 ST-HERALD SQ	BMT	876855.0
429	W 4 ST-WASH SQ	IND	772381.0
123	72 ST	IRT	756155.0
109	59 ST	IRT	745560.0
88	42 ST-BRYANT PK	IND	737470.0
20	14 ST	IND	683955.0
63	23 ST	IRT	680181.0
432	WALL ST	IRT	678720.0
327	LEXINGTON AV/53	IND	677347.0
132	8 AV	BMT	670648.0
107	57 ST-7 AV	BMT	649190.0
244	DEKALB AV	BMT	621924.0
309	JAY ST-METROTEC	IND	619026.0
306	JAMAICA CENTER	IND	616600.0
70	28 ST	IRT	605503.0
23	14 ST-UNION SQ	IRT	573454.0
156	ATL AV-BARCLAY	IRT	565795.0
182	BEDFORD AV	BMT	562760.0
192	BOROUGH HALL	IRT	547937.0
195	BOWLING GREEN	IRT	534397.0
313	JOURNAL SQUARE	PTH	528374.0
14	125 ST	IND	515784.0
124	72 ST-2 AVE	IND	514775.0
121	7 AV	IND	503707.0
94	49 ST	BMT	485839.0
416	THIRTY THIRD ST	PTH	481376.0
269	FOREST HILLS 71	IND	470255.0
75	33 ST	IRT	469852.0
220	CHAMBERS ST	IND	468096.0
140	86 ST-2 AVE	IND	466570.0
241	CROWN HTS-UTICA	IRT	465355.0
108	59 ST	BMT	458890.0
11	116 ST	IRT	456479.0
101	50 ST	IRT	456389.0
2	103 ST	IRT	447345.0
284	GRAND ST	IND	438045.0
279	FULTON ST	IRT	433393.0
316	KEW GARDENS	IND	431356.0
412	SUTPHIN-ARCHER	IND	426998.0
129	77 ST	IRT	423889.0
61	23 ST	BMT	417736.0
24	145 ST	IND	409699.0
0	1 AV	BMT	405298.0
21	14 ST	IRT	402880.0
96	5 AV/53 ST	IND	399446.0
289	GROVE STREET	PTH	398366.0
317	KINGS HWY	BMT	391072.0
73	3 AV-149 ST	IRT	390374.0
167	B'WAY-LAFAYETTE	IND	385814.0
314	JUNCTION BLVD	IRT	384896.0
347	MYRTLE-WYCKOFF	BMT	382099.0
116	66 ST-LINCOLN	IRT	377101.0
236	CORTLANDT ST	BMT	375919.0
440	WOODHAVEN BLVD	IND	369894.0
328	LEXINGTON AV/63	IND	369814.0
234	CONEY IS-STILLW	BMT	365168.0
102	51 ST	IRT	360762.0
305	JAMAICA 179 ST	IND	357470.0
100	50 ST	IND	355907.0
228	CITY / BUS	PTH	354516.0
211	CANAL ST	IND	352135.0
3	103 ST-CORONA	IRT	348928.0
146	96 ST-2 AVE	IND	348379.0
205	BROOKLYN BRIDGE	IRT	346711.0
135	81 ST-MUSEUM	IND	344394.0
435	WHITEHALL S-FRY	BMT	337948.0
